horizon,date,asin,root_category,amazon_price,future_min_price,drop_probability,price_vs_rolling_mean_30,price_rolling_std_30,offer_count,offer_count_trend_14,price_source,model_decision,error_type
7,2026-02-22,B085WPHQN4,Toys & Games,19.28,13.48,0.0021561945,-0.33119030549709766,5.628976714339301,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-17,B085WPHQN4,Toys & Games,19.28,13.48,0.0024034933,-0.36332515107818636,3.7275652433831103,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-21,B085WPHQN4,Toys & Games,19.28,13.48,0.0024905566,-0.3378741915173716,5.33644598465363,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-20,B085WPHQN4,Toys & Games,19.28,13.48,0.0026948843,-0.34442580586661825,5.009464100551287,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-19,B085WPHQN4,Toys & Games,19.28,13.48,0.002771179,-0.3508490364866836,4.640754608178809,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-18,B085WPHQN4,Toys & Games,19.28,13.48,0.0029803638,-0.357147620423678,4.21939261304137,,,AMAZON,BUY_NOW,missed_drop
7,2026-04-20,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.004778786,-0.1037327494016397,1.7292237644651711,,,AMAZON,BUY_NOW,missed_drop
7,2026-04-21,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.004856083,-0.09829906414372566,1.7435234506577226,,,AMAZON,BUY_NOW,missed_drop
7,2026-04-09,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.006184514,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-10,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.006346179,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-12,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.006734966,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-11,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0068046693,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-13,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0068909493,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-01-27,B071CYL4GP,Sports & Outdoors,24.57,18.91,0.007243931,-0.08977525314892562,0.957271025413327,1.0,,AMAZON,BUY_NOW,missed_drop
7,2026-04-14,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0078586545,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-15,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.008352125,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-02-02,B07DLFPG6G,Toys & Games,23.17,16.45,0.008674698,-0.05316497078174159,1.3439605648975084,,,AMAZON,BUY_NOW,missed_drop
7,2026-03-08,B01N0RSCBI,Home & Kitchen,14.78,7.59,0.008700697,-0.024358043435210232,0.8284357923633727,16.0,-1.0,NEW,BUY_NOW,missed_drop
7,2026-03-05,B01N0RSCBI,Home & Kitchen,14.89,7.59,0.009024722,-0.04614464777604574,1.606022036464313,16.0,-1.0,NEW,BUY_NOW,missed_drop
7,2026-01-26,B071CYL4GP,Sports & Outdoors,24.57,18.91,0.009109935,-0.09432710383722219,0.8878775544679849,1.0,,AMAZON,BUY_NOW,missed_drop
14,2026-04-03,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.004101982,-0.0653491887848138,2.849056326930571,,,NEW,BUY_NOW,missed_drop
14,2026-04-02,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0041489834,-0.07543591878266502,3.012593509780657,,,NEW,BUY_NOW,missed_drop
14,2026-04-04,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0045609213,-0.05503994453461081,2.6544077634592576,,,NEW,BUY_NOW,missed_drop
14,2026-04-05,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0051183263,-0.044500740882367044,2.421155822585882,,,NEW,BUY_NOW,missed_drop
14,2026-04-07,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0057436908,-0.022700976158271397,1.7765962872347336,,,NEW,BUY_NOW,missed_drop
14,2026-04-17,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.0059862575,-0.09683378662698211,1.9575162834584316,,,AMAZON,BUY_NOW,missed_drop
14,2026-04-06,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0062419213,-0.033723796787135656,2.1366952945165902,,,NEW,BUY_NOW,missed_drop
14,2026-04-19,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.0062746583,-0.10144483586051965,1.8099555147909405,,,AMAZON,BUY_NOW,missed_drop
14,2026-04-18,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.006297274,-0.09914521164969022,1.8858660317371634,,,AMAZON,BUY_NOW,missed_drop
14,2026-02-19,B085WPHQN4,Toys & Games,19.28,13.48,0.0063065845,-0.3508490364866836,4.640754608178809,,,AMAZON,BUY_NOW,missed_drop
14,2026-02-20,B085WPHQN4,Toys & Games,19.28,13.48,0.006514181,-0.34442580586661825,5.009464100551287,,,AMAZON,BUY_NOW,missed_drop
14,2026-02-18,B085WPHQN4,Toys & Games,19.28,13.48,0.0065239025,-0.357147620423678,4.21939261304137,,,AMAZON,BUY_NOW,missed_drop
14,2026-02-22,B085WPHQN4,Toys & Games,19.28,13.48,0.0065562227,-0.33119030549709766,5.628976714339301,,,AMAZON,BUY_NOW,missed_drop
14,2026-02-21,B085WPHQN4,Toys & Games,19.28,13.48,0.0068198973,-0.3378741915173716,5.33644598465363,,,AMAZON,BUY_NOW,missed_drop
14,2026-02-17,B085WPHQN4,Toys & Games,19.28,13.48,0.0075510456,-0.36332515107818636,3.7275652433831103,,,AMAZON,BUY_NOW,missed_drop
14,2026-04-08,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.008819971,-0.011423767370555445,1.278467158695218,,,NEW,BUY_NOW,missed_drop
14,2026-01-26,B071CYL4GP,Sports & Outdoors,24.57,16.62,0.0100542335,-0.09432710383722219,0.8878775544679849,1.0,,AMAZON,BUY_NOW,missed_drop
14,2026-01-28,B071CYL4GP,Sports & Outdoors,22.11,16.62,0.010374543,-0.17677137502637363,1.003159434276854,1.0,,AMAZON,BUY_NOW,missed_drop
14,2026-04-20,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.010430528,-0.1037327494016397,1.7292237644651711,,,AMAZON,BUY_NOW,missed_drop
14,2026-04-09,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.010474012,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
30,2026-04-03,B071CYL4GP,Sports & Outdoors,17.76,11.86,0.011247058,-0.10987854386287305,1.865944677699403,,,AMAZON,BUY_NOW,missed_drop
30,2026-03-29,B09F6JW2BD,Home & Kitchen,19.98,11.67,0.013706762,-0.11417846481246119,3.431961069360971,,,NEW,BUY_NOW,missed_drop
30,2026-03-30,B09F6JW2BD,Home & Kitchen,19.98,11.67,0.0138664255,-0.10490554767415808,3.3574436943781576,,,NEW,BUY_NOW,missed_drop
30,2026-03-31,B09F6JW2BD,Home & Kitchen,19.98,11.67,0.014978359,-0.09543643607388615,3.2639751520352545,,,NEW,BUY_NOW,missed_drop
30,2026-04-09,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.015301087,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
30,2026-04-10,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.015423422,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
30,2026-03-27,B09F6JW2BD,Home & Kitchen,19.98,11.67,0.015425675,-0.13215961081832392,3.5286423425461084,,,NEW,BUY_NOW,missed_drop
30,2026-03-28,B09F6JW2BD,Home & Kitchen,19.98,11.67,0.015630687,-0.12326122251963657,3.4887418441570754,,,NEW,BUY_NOW,missed_drop
30,2026-01-29,B071CYL4GP,Sports & Outdoors,22.11,16.3,0.015818533,-0.17004504504504508,1.274765698554393,1.0,,AMAZON,BUY_NOW,missed_drop
30,2026-04-11,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.01586088,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
30,2026-03-26,B09F6JW2BD,Home & Kitchen,19.98,11.67,0.015950026,-0.1408791870314895,3.5522314340312384,,,NEW,BUY_NOW,missed_drop
30,2026-03-25,B09F6JW2BD,Home & Kitchen,19.98,11.67,0.016010199,-0.14942528735632177,3.559833394009266,,,NEW,BUY_NOW,missed_drop
30,2026-04-19,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.016142162,-0.10144483586051965,1.8099555147909405,,,AMAZON,BUY_NOW,missed_drop
30,2026-04-12,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.016633827,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
30,2026-01-28,B071CYL4GP,Sports & Outdoors,22.11,16.3,0.016856099,-0.17677137502637363,1.003159434276854,1.0,,AMAZON,BUY_NOW,missed_drop
30,2026-04-04,B071CYL4GP,Sports & Outdoors,17.76,11.86,0.016972456,-0.10480862932222172,1.8933603284473333,,,AMAZON,BUY_NOW,missed_drop
30,2026-02-22,B085WPHQN4,Toys & Games,19.28,13.48,0.017921876,-0.33119030549709766,5.628976714339301,,,AMAZON,BUY_NOW,missed_drop
30,2026-04-13,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.017941274,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
30,2026-04-17,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.018587524,-0.09683378662698211,1.9575162834584316,,,AMAZON,BUY_NOW,missed_drop
30,2026-04-18,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.01861957,-0.09914521164969022,1.8858660317371634,,,AMAZON,BUY_NOW,missed_drop
